idno,autor,titulo,subtitulo,anio,decada,genero,subgenero,genero_autor,archivo
ne0175,Pedro Antonio de Alarcón,El niño de la Bola,Novela,1880,1880s,novela,bildungsroman,male,Textos por decada/1880s/Pedro Antonio de Alarcón - El niño de la Bola. Novela (1880) [ne0175].txt
ne0174,Pedro Antonio de Alarcón,El Capitán Veneno,,1881,1880s,novela,realist,male,Textos por decada/1880s/Pedro Antonio de Alarcón - El Capitán Veneno (1881) [ne0174].txt
ne0176,Pedro Antonio de Alarcón,La pródiga,Novela,1882,1880s,novela,realist,male,Textos por decada/1880s/Pedro Antonio de Alarcón - La pródiga. Novela (1882) [ne0176].txt
ne0087,Emilia Pardo Bazán,Un viaje de novios,,1881,1880s,novela,realist,female,Textos por decada/1880s/Emilia Pardo Bazán - Un viaje de novios (1881) [ne0087].txt
ne0075,Emilia Pardo Bazán,La Tribuna,,1883,1880s,novela,bildungsroman,female,Textos por decada/1880s/Emilia Pardo Bazán - La Tribuna (1883) [ne0075].txt
ne0076,Emilia Pardo Bazán,El cisne de Vilamorta,,1884,1880s,novela,realist,female,Textos por decada/1880s/Emilia Pardo Bazán - El cisne de Vilamorta (1884) [ne0076].txt
ne0077,Emilia Pardo Bazán,Los pazos de Ulloa,,1886,1880s,novela,realist,female,Textos por decada/1880s/Emilia Pardo Bazán - Los pazos de Ulloa (1886) [ne0077].txt
ne0078,Emilia Pardo Bazán,La madre Naturaleza,Segunda parte de Los pazos de Ulloa,1887,1880s,novela,realist,female,Textos por decada/1880s/Emilia Pardo Bazán - La madre Naturaleza. Segunda parte de Los pazos de Ulloa (1887) [ne0078].txt
ne0079,Emilia Pardo Bazán,Insolación,Historia amorosa,1889,1880s,novela,sentimental,female,Textos por decada/1880s/Emilia Pardo Bazán - Insolación. Historia amorosa (1889) [ne0079].txt
ne0088,Emilia Pardo Bazán,Morriña,dos historias amorosoas,1889,1880s,novela,naturalist,female,Textos por decada/1880s/Emilia Pardo Bazán - Morriña. dos historias amorosoas (1889) [ne0088].txt
ne0221,José Selgas Carrasco,Nona,novela póstuma,1883,1880s,novela,sentimental,male,Textos por decada/1880s/José Selgas Carrasco - Nona. novela póstuma (1883) [ne0221].txt
ne0120,Rosalía de Castro,El primer loco,,1881,1880s,novela,sentimental,female,Textos por decada/1880s/Rosalía de Castro - El primer loco (1881) [ne0120].txt
ne0009,Benito Pérez Galdós,La desheredada,,1881,1880s,novela,bildungsroman,male,Textos por decada/1880s/Benito Pérez Galdós - La desheredada (1881) [ne0009].txt
ne0011,Benito Pérez Galdós,El amigo Manso,,1882,1880s,novela,philosophical,male,Textos por decada/1880s/Benito Pérez Galdós - El amigo Manso (1882) [ne0011].txt
ne0024,Benito Pérez Galdós,El doctor Centeno,,1883,1880s,novela,bildungsroman,male,Textos por decada/1880s/Benito Pérez Galdós - El doctor Centeno (1883) [ne0024].txt
ne0027,Benito Pérez Galdós,La de Bringas,,1884,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - La de Bringas (1884) [ne0027].txt
ne0028,Benito Pérez Galdós,Tormento,,1884,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Tormento (1884) [ne0028].txt
ne0029,Benito Pérez Galdós,Lo prohibido,,1884,1880s,novela,sentimental,male,Textos por decada/1880s/Benito Pérez Galdós - Lo prohibido (1884) [ne0029].txt
ne0321,Benito Pérez Galdós,Fortunata y Jacinta,dos historias de casadas,1886,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Fortunata y Jacinta. dos historias de casadas (1886) [ne0321].txt
ne0322,Benito Pérez Galdós,Fortunata y Jacinta,dos historias de casadas,1886,1880s,novela,realist,male,Textos por decada/1880s/Benito Pérez Galdós - Fortunata y Jacinta. dos historias de casadas (1886) [ne0322].txt
